age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
Y16,UNK,NR,T,SE	17 	9 	10 	11 	9 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,SI	0 	: 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,SK	: 	: b	0 b	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y16,UNK,NR,T,UK	0 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,AT	423 	317 	271 	227 	309 	339 	406 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,BE	454 	704 	621 	555 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,BG	35 p	23 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,CH	457 	448 	421 b	564 	577 	633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,CY	0 	57 	65 	280 	: 	124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,CZ	177 	162 	107 	228 	228 	301 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,DE	2243 	1900 	1542 	1219 	1069 b	2008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,DK	100 	104 	104 	120 	128 	129 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,EE	9 	4 	3 	3 	9 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,EL	229 	234 	241 	144 	168 	552 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,ES	1503 	1736 	2258 	2313 	2832 	4182 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,FI	101 	113 	105 	92 	115 	111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,FR	928 	1147 	1065 	994 	769 	826 	723 	923 b	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,HR	12 	6 	8 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,HU	144 	131 	135 	127 b	137 	178 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,IE	170 p	200 	308 	236 	478 	422 	780 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,IS	10 	14 	9 	5 	14 b	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,IT	1247 	1516 	1638 	1872 	2276 p	2662 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,LI	2 	4 	3 	3 	4 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,LT	3 	23 	9 	23 	21 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,LU	72 	67 	47 	38 	42 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,LV	2 	2 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,ME	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,MK	: 	1 	5 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,MT	21 	17 	19 	12 	17 	9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,NL	345 	202 	233 	194 	194 b	267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,NO	256 	241 	213 	235 	200 	213 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,PL	299 	240 	213 	141 	163 b	61 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,PT	39 	41 	63 	61 	91 	210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,RO	170 	142 	134 	181 	115 	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,SE	716 	541 	459 	420 	596 	508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,SI	48 	49 	39 	52 	71 	65 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,SK	: 	: b	11 b	43 	42 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,F,UK	2864 	5126 	4309 	3664 	3598 	5913 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,AT	500 	630 	441 	337 	458 	420 	405 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,BE	540 	1098 	852 	732 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,BG	50 p	29 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,CH	492 	475 	433 b	570 	547 	626 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,CY	0 	0 	58 	236 	: 	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,CZ	140 	151 	106 	196 	267 	287 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,DE	3320 	2516 	2032 	1801 	1499 b	2146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,DK	116 	114 	157 	124 	120 	122 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,EE	4 	2 	5 	5 	3 	4 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,EL	257 	260 	270 	245 	397 	837 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,ES	1982 	2347 	2757 	2895 	3642 	5194 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,FI	132 	126 	129 	139 	134 	138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,FR	1497 	1551 	1223 	1381 	919 	906 	753 	924 b	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,HR	12 	11 	6 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,HU	142 	122 	146 	165 b	179 	229 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,IE	274 p	186 	146 	239 	443 	882 	738 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,IS	7 	8 	11 	4 	14 b	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,IT	2064 	2223 	2220 	3001 	3394 p	3640 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,LI	2 	1 	2 	0 	4 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,LT	4 	12 	3 	11 	9 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,LU	62 	81 	71 	65 	56 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,LV	3 	4 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,ME	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,MK	: 	1 	2 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,MT	52 	36 	17 	13 	40 	29 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,NL	365 	230 	234 	213 	208 b	251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,NO	361 	343 	343 	623 	466 	227 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,PL	314 	247 	237 	174 	154 b	44 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,PT	41 	43 	76 	66 	112 	114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,RO	198 	121 	127 	153 	104 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,SE	1196 	771 	824 	601 	675 	725 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,SI	77 	75 	62 	46 	86 	92 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,SK	: 	: b	12 b	42 	54 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,M,UK	5096 	2335 	5498 	3010 	3217 	4537 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,AT	923 	947 	712 	564 	767 	759 	811 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,BE	994 	1802 	1473 	1287 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,BG	85 p	52 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,CH	949 	923 	854 b	1134 	1124 	1259 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,CY	0 	57 	123 	516 	: 	182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,CZ	317 	313 	213 	424 	495 	588 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,DE	5563 	4416 	3574 	3020 	2568 b	4154 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,DK	216 	218 	261 	244 	248 	251 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,EE	13 	6 	8 	8 	12 	12 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,EL	486 	494 	511 	389 	565 	1389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,ES	3485 	4083 	5015 	5208 	6474 	9376 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,FI	233 	239 	234 	231 	249 	249 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,FR	2425 	2698 	2288 	2375 	1688 	1732 	1476 	1847 b	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,HR	24 	17 	14 	: 	: 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,HU	286 	253 	281 	292 b	316 	407 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,IE	444 p	386 	454 	475 	921 	1304 	1518 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,IS	17 	22 	20 	9 	28 b	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,IT	3311 	3739 	3858 	4873 	5670 p	6302 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,LI	4 	5 	5 	3 	8 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,LT	7 	35 	12 	34 	30 	42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,LU	134 	148 	118 	103 	98 	95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,LV	5 	6 	10 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,ME	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,MK	: 	2 	7 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,MT	73 	53 	36 	25 	57 	38 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,NL	710 	432 	467 	407 	402 b	518 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,NO	617 	584 	556 	858 	666 	440 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,PL	613 	487 	450 	315 	317 b	105 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,PT	80 	84 	139 	127 	203 	324 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,RO	368 	263 	261 	334 	219 	148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,SE	1912 	1312 	1283 	1021 	1271 	1233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,SI	125 	124 	101 	98 	157 	157 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,SK	: 	: b	23 b	85 	96 	148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,FOR,NR,T,UK	7960 	7461 	9807 	6674 	6815 	10450 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,AT	35 	49 	31 	33 	40 	33 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,BE	66 	88 	76 	90 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,BG	12 p	10 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,CH	119 	101 	79 b	116 	120 	107 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,CY	0 	0 	3 	10 	: 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,CZ	3 	9 	7 	17 	22 	26 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,DE	382 	373 	333 	321 	359 b	456 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,DK	198 	142 	182 	148 	135 	196 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,EE	7 	1 	2 	5 	3 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,EL	107 	105 	109 	67 	77 	270 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,ES	174 	166 	174 	157 	142 	143 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,FI	25 	26 	25 	26 	23 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,FR	447 	466 	487 	634 	603 	661 	791 	773 b	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,HR	23 	21 	51 	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,HU	27 	19 	8 	0 b	3 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,IE	18 p	25 	51 	48 	99 	73 	127 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,IS	13 	11 	7 	6 	9 b	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,IT	71 	72 	115 	129 	128 p	133 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,LI	0 	0 	0 	2 	0 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,LT	27 	19 	8 	4 	24 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,LU	5 	7 	6 	3 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,LV	2 	7 	15 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,ME	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,MK	: 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,MT	3 	3 	3 	5 	3 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,NL	183 	215 	202 	172 	189 b	231 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,NO	28 	36 	26 	49 	29 	25 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,PL	425 	418 	280 	223 	215 b	55 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,PT	109 	65 	94 	157 	165 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,RO	305 	372 	322 	316 	374 	411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,SE	100 	94 	84 	89 	69 	97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,SI	3 	2 	11 	7 	9 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,SK	: 	: b	3 b	2 	7 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,F,UK	489 	726 	105 	497 	501 	386 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,AT	29 	39 	35 	25 	52 	25 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,BE	82 	61 	72 	91 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,BG	11 p	17 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,CH	104 	96 	101 b	94 	114 	108 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,CY	0 	0 	7 	23 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,CZ	6 	9 	14 	14 	16 	17 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,DE	381 	465 	430 	373 	355 b	482 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,DK	122 	135 	123 	105 	113 	155 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,EE	2 	1 	6 	0 	6 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,EL	96 	95 	98 	61 	70 	278 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,ES	209 	192 	190 	152 	126 	172 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,FI	24 	24 	27 	22 	28 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,FR	635 	629 	603 	605 	533 	666 	674 	603 b	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,HR	31 	26 	57 	: 	: 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,HU	28 	40 	15 	0 b	4 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,IE	35 p	48 	54 	73 	140 	234 	125 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,IS	10 	9 	6 	4 	4 b	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,IT	90 	93 	115 	105 	152 p	183 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,LI	0 	0 	1 	3 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,LT	25 	22 	22 	12 	18 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,LU	7 	4 	6 	7 	13 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,LV	5 	7 	10 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,ME	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,MK	: 	1 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,MT	5 	4 	4 	3 	5 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,NL	190 	205 	194 	196 	210 b	205 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,NO	45 	36 	47 	45 	47 	32 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,PL	505 	393 	298 	223 	189 b	68 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,PT	119 	74 	180 	74 	52 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,RO	285 	383 	414 	297 	336 	467 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,SE	84 	82 	79 	73 	73 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,SI	6 	4 	10 	4 	10 	9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,SK	: 	: b	8 b	6 	4 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,M,UK	560 	46 	439 	680 	519 	441 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,AT	64 	88 	66 	58 	92 	58 	67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,BE	148 	149 	148 	181 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,BG	23 p	27 	: 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,CH	223 	197 	180 b	210 	234 	215 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,CY	0 	0 	10 	33 	: 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,CZ	9 	18 	21 	31 	38 	43 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,DE	763 	838 	763 	694 	714 b	938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,DK	320 	277 	305 	253 	248 	351 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,EE	9 	2 	8 	5 	9 	12 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,EL	203 	200 	207 	128 	147 	548 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,ES	383 	358 	364 	309 	268 	315 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,FI	49 	50 	52 	48 	51 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,FR	1082 	1095 	1090 	1239 	1136 	1327 	1465 	1376 b	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,HR	54 	47 	108 	: 	: 	157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,HU	55 	59 	23 	0 b	7 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,IE	53 p	73 	105 	121 	239 	307 	252 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,IS	23 	20 	13 	10 	13 b	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,IT	161 	165 	230 	234 	280 p	316 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,LI	0 	0 	1 	5 	1 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,LT	52 	41 	30 	16 	42 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,LU	12 	11 	12 	10 	16 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,LV	7 	14 	25 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,ME	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,MK	: 	1 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,MT	8 	7 	7 	8 	8 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,NL	373 	420 	396 	368 	399 b	436 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,NO	73 	72 	73 	94 	76 	57 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,PL	930 	811 	578 	446 	404 b	123 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,PT	228 	139 	274 	231 	217 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,RO	590 	755 	736 	613 	710 	878 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,SE	184 	176 	163 	162 	142 	173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,SI	9 	6 	21 	11 	19 	16 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,SK	: 	: b	11 b	8 	11 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,NAT,NR,T,UK	1049 	772 	544 	1177 	1020 	827 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,TOTAL,NR,F,AT	458 	367 	302 	260 	349 	372 	436 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,TOTAL,NR,F,BE	520 	795 	704 	650 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,TOTAL,NR,F,BG	47 p	33 bp	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,TOTAL,NR,F,CH	576 	549 	500 b	681 	697 	740 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y17,TOTAL,NR,F,CY	0 	57 	68 	290 	63 	180 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
